Date stamp,AB50A30LRC01_PV,AB50A30LRC01_SP,AB50A30IRA01_PV,AB50A30SIK01_PV,AB40A11LRC10PV,AB40A11TRC06PV,AB40A11FQC01PV,AB40A21LRC03PV,AB40A21TRC04PV,AB40A21PR01_PV,AB40A21FRC02_PV,AB50A30TRC04_PV,AB50A62PRC01_PV,AB50A30TRC08_PV,AB60A31FQC01_PV,AB50A30LRC01_OUT
2023-04-27 00:23:00,50.04656219,50,17.73244858,27.99564362,65.27437592,268.2595825,3608.283691,68.15543365,267.6799927,0.064627714,19817.45898,272.1972656,9.963413239,277.7595215,19149.0625,49.74188995
2023-04-27 00:24:00,50.33668518,50,17.70044518,27.99573135,65.28373718,268.2543335,3606.599121,68.20173645,267.6773071,0.064621359,19336.85742,272.1982117,9.963222504,277.760498,19149.0918,49.6350708
2023-04-27 00:25:00,50.66697693,50,17.72476387,27.99581718,65.29310608,268.2490845,3599.020508,68.24803925,267.6745911,0.064614996,19322.42188,272.1991577,9.963031769,277.7614441,19149.12305,49.52825165
2023-04-27 00:26:00,50.92512894,50,17.76656914,27.99590302,65.30246735,268.243866,3611.042969,68.29434204,267.671875,0.064608641,19583.05469,272.2001343,9.962841034,277.7623901,19149.15234,49.4214325
2023-04-27 00:27:00,51.18327713,50,17.66893768,27.99599075,65.31183624,268.2386169,3605.442383,68.34064484,267.6691895,0.064609595,19560.7793,272.2010803,9.962650299,277.7633362,19149.18164,49.31461334
2023-04-27 00:28:00,51.429039,50,17.78392601,27.99607658,65.32119751,268.2333679,3612.0271,68.38694763,267.6664734,0.064676352,19359.04688,272.2020264,9.962459564,277.7643127,19149.21094,49.20779419
2023-04-27 00:29:00,50.81223297,50,17.83016968,27.99616241,65.33056641,268.2281189,3607.33667,68.43325043,267.6637878,0.064743109,19517.63086,272.2029724,9.962268829,277.7652588,19149.24219,49.42234039
2023-04-27 00:30:00,50.41876602,50,17.72399902,27.99624825,65.33992767,268.2228699,3607.542236,68.45766449,267.6610718,0.064809866,19369.24023,272.203949,9.962078094,277.7662048,19149.27148,49.70903015
2023-04-27 00:31:00,50.28487396,50,17.8168602,27.99633598,65.34929657,268.2176208,3605.04248,68.41014862,267.6583862,0.064876631,19588.60742,272.204895,9.96188736,277.7671814,19149.30078,49.821064
2023-04-27 00:32:00,50.15098572,50,17.62613487,27.99642181,65.35866547,268.2123718,3608.040527,68.36264038,267.6556702,0.064943388,19252.05078,272.2058411,9.961696625,277.7681274,19149.33008,49.76970673
2023-04-27 00:33:00,50.13382339,50,17.65182877,27.99650764,65.36802673,268.2071228,3602.331543,68.33770752,267.6529846,0.065010145,19725.75391,272.2067871,9.96150589,277.7690735,19149.36133,49.71834946
2023-04-27 00:34:00,50.33344269,50,17.63922501,27.99659538,65.37739563,268.2018738,3611.132813,68.37488556,267.6502686,0.065076903,19695.56445,272.2077637,9.961315155,277.7700195,19149.39063,49.66699219
2023-04-27 00:35:00,50.45465088,50,17.59778595,27.99668121,65.3867569,268.1966248,3610.821533,68.4120636,267.647583,0.06514366,19247.97266,272.2087097,9.96112442,277.7709961,19149.41992,49.61563492
2023-04-27 00:36:00,50.94621658,50,17.63082886,27.99676704,65.39612579,268.1913757,3598.575684,68.44924164,267.6448669,0.065210417,19502.79883,272.2096558,9.960933685,277.7719421,19149.44922,49.68724442
2023-04-27 00:37:00,50.52696228,50,17.4582119,27.99685478,65.40548706,268.1861267,3611.410889,68.48641968,267.6421814,0.065277174,19513.25,272.2106323,9.96074295,277.7728882,19149.47852,50.02421188
2023-04-27 00:38:00,50.12401581,50,17.56682587,27.99694061,65.41485596,268.1808777,3611.479248,68.52359772,267.6394653,0.065343931,19934.82031,272.2115784,9.960552216,277.7738342,19149.50977,50.20158768
2023-04-27 00:39:00,50.16890335,50,17.52265739,27.99702644,65.42421722,268.1756287,3612.892822,68.56077576,267.6367798,0.065410696,19441.83594,272.2125244,9.960361481,277.7748108,19149.53906,50.18391037
2023-04-27 00:40:00,50.1624527,50,17.7333889,27.99711418,65.43358612,268.1704102,3620.063232,68.5979538,267.6340637,0.065477453,19560.88672,272.2134705,9.960170746,277.7757568,19149.56836,50.16622925
2023-04-27 00:41:00,50.02082062,50,17.57636452,27.99720001,65.44295502,268.1651611,3613.558838,68.63513184,267.6313477,0.06554421,19691.93359,272.214447,9.959980011,277.7767029,19149.59766,50.14854813
2023-04-27 00:42:00,49.89907074,50,17.71966553,27.99728584,65.45231628,268.1599121,3608.353516,68.67230988,267.6286621,0.065610968,19406.93945,272.2153931,9.959789276,277.7776489,19149.62891,50.1312294
2023-04-27 00:43:00,50.0209465,50,17.52589607,27.99734879,65.46168518,268.1546631,3611.164063,68.70948792,267.625946,0.065677725,19613.86523,272.2163391,9.959598541,277.7786255,19149.6582,50.12080765
2023-04-27 00:44:00,50.09091187,50,17.64888573,27.99735641,65.47104645,268.1494141,3609.782471,68.74665833,267.6232605,0.065744482,19260.44727,272.2172852,9.959407806,277.7795715,19149.6875,50.11038589
2023-04-27 00:45:00,50.14390182,50,17.49619675,27.99736404,65.48041534,268.144165,3612.202148,68.78383636,267.6205444,0.065811239,19670.42969,272.2182617,9.959217072,277.7805176,19149.7168,50.09996414
2023-04-27 00:46:00,50.22017288,50,17.61054039,27.99737167,65.48977661,268.138916,3610.661377,68.8210144,267.6178589,0.065878004,19355.23438,272.2192078,9.959026337,277.7814636,19149.74805,50.08954239
2023-04-27 00:47:00,50.59133148,50,17.67183113,27.9973793,65.49914551,268.133667,3610.850586,68.85819244,267.6151428,0.065944761,19564.4707,272.2201538,9.958835602,277.7824402,19149.77734,50.07912064
2023-04-27 00:48:00,50.24297333,50,17.54007339,27.99738693,65.50850677,268.128418,3607.768799,68.81632996,267.6124573,0.066011518,19581.44336,272.2210999,9.958644867,277.7833862,19149.80664,50.06869507
2023-04-27 00:49:00,50.01142502,50,17.74826622,27.99739456,65.51787567,268.1231689,3612.580566,68.76882172,267.6097412,0.066078275,19050.31641,272.2220764,9.958454132,277.7843323,19149.83594,50.05827332
2023-04-27 00:50:00,50.49934769,50,17.61316681,27.99740028,65.52723694,268.1179199,3606.262207,68.72131348,267.6070557,0.066145033,19595.65234,272.2230225,9.958263397,277.7852783,19149.86719,50.04785156
2023-04-27 00:51:00,50.24627686,50,17.53831482,27.99740791,65.53660583,268.1126709,3605.510498,68.67380524,267.6043396,0.06621179,19503.83398,272.2239685,9.958072662,277.7862549,19149.89648,50.03742981
2023-04-27 00:52:00,49.85089874,50,17.50732422,27.99741554,65.54597473,268.1074219,3602.452637,68.626297,267.6016541,0.066278547,19420.25977,272.2249451,9.957881927,277.7872009,19149.92578,50.02700806
2023-04-27 00:53:00,49.58389664,50,17.44882202,27.99742317,65.555336,268.1021729,3604.140137,68.57878876,267.598938,0.066345304,19512.92773,272.2258911,9.957691193,277.788147,19149.95508,49.86359787
2023-04-27 00:54:00,50.50297165,50,17.74876213,27.9974308,65.5647049,268.0969238,3599.630127,68.53128052,267.5962524,0.066412069,19232.80078,272.2268372,9.957500458,277.789093,19149.98438,49.77822495
2023-04-27 00:55:00,50.33368683,50,17.54372597,27.99743843,65.57406616,268.0917053,3596.416992,68.48377228,267.5935364,0.066478826,19104.79688,272.2277832,9.957309723,277.7900696,19150.01563,49.72786713
2023-04-27 00:56:00,50.03568268,50,17.4829483,27.99744606,65.58343506,268.0864563,3599.241943,68.43626404,267.5908203,0.066545583,19692.15625,272.2287598,9.957118988,277.7910156,19150.04492,49.67750549
2023-04-27 00:57:00,50.34260178,50,17.52783585,27.99745369,65.59279633,268.0812073,3594.450195,68.45734406,267.5934753,0.066612341,19432.07031,272.2297058,9.956928253,277.7919617,19150.07422,49.62714767
2023-04-27 00:58:00,50.99930573,50,17.54343605,27.99746132,65.60216522,268.0759583,3599.659912,68.4784317,267.5991821,0.066679098,19114.8125,272.2306519,9.956737518,277.7929382,19150.10352,49.60913849
2023-04-27 00:59:00,50.38220596,50,17.60792351,27.99746895,65.61152649,268.0707092,3588.931396,68.49951172,267.6049194,0.066745855,19302.98633,272.2315979,9.956546783,277.7938843,19150.13477,49.6431694
